Equipo,Pos,PJ,PG,GA,GC,PP,PE,Pts,Dif,team_id,Escudo
Aldosivi,1,38,17,41,24,8,13,64,+17,36836,https://api.sofascore.app/api/v1/team/36836/image
Deportivo Madryn,2,38,17,35,20,8,13,64,+15,222120,https://api.sofascore.app/api/v1/team/222120/image
Nueva Chicago,3,38,18,39,25,10,10,64,+14,3200,https://api.sofascore.app/api/v1/team/3200/image
Gimnasia y Esgrima Mendoza,4,38,17,44,33,9,12,63,+11,188441,https://api.sofascore.app/api/v1/team/188441/image
San Telmo,5,38,18,49,25,9,11,62,+24,213361,https://api.sofascore.app/api/v1/team/213361/image
Club Atletico Colón,6,38,16,40,26,12,10,58,+14,3207,https://api.sofascore.app/api/v1/team/3207/image
Defensores de Belgrano,7,38,15,38,24,10,13,58,+14,52215,https://api.sofascore.app/api/v1/team/52215/image
Gimnasia y Tiro de Salta,8,38,14,27,22,8,16,58,+5,222126,https://api.sofascore.app/api/v1/team/222126/image
Mitre,9,38,13,27,20,7,18,57,+7,255425,https://api.sofascore.app/api/v1/team/255425/image
Temperley,10,38,11,30,25,8,19,52,+5,112499,https://api.sofascore.app/api/v1/team/112499/image
Estudiantes de Río Cuarto,11,38,12,27,28,11,15,51,-1,266694,https://api.sofascore.app/api/v1/team/266694/image
Atlanta,12,38,13,30,34,13,12,51,-4,53799,https://api.sofascore.app/api/v1/team/53799/image
Deportivo Morón,13,38,9,27,38,15,14,41,-11,93109,https://api.sofascore.app/api/v1/team/93109/image
Almagro,14,38,8,27,47,16,14,38,-20,4938,https://api.sofascore.app/api/v1/team/4938/image
Chaco For Ever,15,38,8,24,30,17,13,37,-6,252726,https://api.sofascore.app/api/v1/team/252726/image
Almirante Brown,16,38,8,26,40,17,13,37,-14,43740,https://api.sofascore.app/api/v1/team/43740/image
Defensores Unidos,17,38,7,30,46,17,14,35,-16,93515,https://api.sofascore.app/api/v1/team/93515/image
Atlético de Rafaela,18,38,6,24,43,20,12,30,-19,34976,https://api.sofascore.app/api/v1/team/34976/image
Brown de Adrogué,19,38,5,21,50,18,15,30,-29,107201,https://api.sofascore.app/api/v1/team/107201/image
